Time,K004b_Raum.room_temperature
837,21.1713
838,21.171
839,21.1708
840,21.1706
840,21.1706
841,21.1703
842,21.1701
843,21.1699
844,21.1697
845,21.1696
846,21.1694
847,21.1693
848,21.1692
849,21.169
850,21.1689
850,21.1689
851,21.1688
852,21.1688
853,21.1687
854,21.1686
855,21.1685
856,21.1684
857,21.1683
858,21.1682
859,21.1681
860,21.168
860,21.168
861,21.1679
862,21.1677
863,21.1676
864,21.1675
865,21.1674
866,21.1672
867,21.1671
868,21.167
869,21.1668
870,21.1666
870,21.1666
871,21.1665
872,21.1664
873,21.1663
874,21.1662
875,21.1661
876,21.1661
877,21.1661
878,21.1661
879,21.1661
880,21.1662
880,21.1662
881,21.1663
882,21.1664
883,21.1665
884,21.1666
885,21.1667
886,21.1669
887,21.167
888,21.1672
889,21.1673
890,21.1675
890,21.1675
891,21.1677
892,21.1679
893,21.1681
894,21.1683
895,21.1686
896,21.1688
897,21.1691
898,21.1694
899,21.1696
900,21.1699
900,21.1699
901,21.1702
902,21.1705
903,21.1708
904,21.1711
905,21.1714
906,21.1717
907,21.172
908,21.1723
909,21.1726
910,21.1729
910,21.1729
911,21.1732
912,21.1735
913,21.1739
914,21.1743
915,21.1747
916,21.1752
917,21.1756
918,21.1761
919,21.1766
920,21.1772
920,21.1772
921,21.1777
922,21.1782
923,21.1788
924,21.1793
925,21.1798
926,21.1803
927,21.1808
928,21.1813
929,21.1818
930,21.1823
930,21.1823
931,21.1827
932,21.1833
933,21.1838
934,21.1843
935,21.1849
936,21.1855
937,21.1861
938,21.1867
939,21.1873
940,21.188
940,21.188
941,21.1887
942,21.1894
943,21.1901
944,21.1909
945,21.1917
946,21.1925
947,21.1933
948,21.1942
949,21.195
950,21.1959
950,21.1959
951,21.1969
952,21.1978
953,21.1987
954,21.1997
955,21.2007
956,21.2016
957,21.2026
958,21.2036
959,21.2047
960,21.2057
960,21.2057
961,21.2067
962,21.2078
963,21.2088
964,21.2098
965,21.2108
966,21.2118
967,21.2129
968,21.2139
969,21.2149
970,21.2159
970,21.2159
971,21.2168
972,21.2178
973,21.2188
974,21.2198
975,21.2208
976,21.2218
977,21.2228
978,21.2238
979,21.2248
980,21.2258
980,21.2258
981,21.2268
982,21.2278
983,21.2288
984,21.2299
985,21.231
986,21.2321
987,21.2332
988,21.2343
989,21.2355
990,21.2366
990,21.2366
991,21.2378
992,21.239
993,21.2402
994,21.2414
995,21.2427
996,21.244
997,21.2452
998,21.2465
999,21.2478
1000,21.2491
1000,21.2491
1001,21.2505
1002,21.2519
1003,21.2532
1004,21.2547
1005,21.2561
1006,21.2575
1007,21.259
1008,21.2605
1009,21.262
1010,21.2636
1010,21.2636
1011,21.2651
1012,21.2667
1013,21.2684
1014,21.27
1015,21.2717
1016,21.2734
1017,21.2752
1018,21.2769
1019,21.2787
1020,21.2806
1020,21.2806
1021,21.2824
1022,21.2843
1023,21.2861
1024,21.288
1025,21.2899
1026,21.2917
1027,21.2936
1028,21.2955
1029,21.2974
1030,21.2994
1030,21.2994
1031,21.3013
1032,21.3032
1033,21.3051
1034,21.307
1035,21.3089
1036,21.3108
1037,21.3127
1038,21.3145
1039,21.3164
1040,21.3183
1040,21.3183
1041,21.3201
1042,21.322
1043,21.3238
1044,21.3256
1045,21.3273
1046,21.3291
1047,21.3308
1048,21.3325
1049,21.3341
1050,21.3358
1050,21.3358
1051,21.3374
1052,21.3391
1053,21.3407
1054,21.3424
1055,21.3441
1056,21.3458
1057,21.3475
1058,21.3492
1059,21.3509
1060,21.3526
1060,21.3526
1061,21.3544
1062,21.3561
1063,21.3579
1064,21.3596
1065,21.3614
1066,21.3632
1067,21.3651
1068,21.3669
1069,21.3687
1070,21.3706
1070,21.3706
1071,21.3724
1072,21.3743
1073,21.3761
1074,21.3779
1075,21.3797
1076,21.3815
1077,21.3833
1078,21.3851
1079,21.3869
1080,21.3886
1080,21.3886
1081,21.3904
1082,21.3921
1083,21.3938
1084,21.3955
1085,21.3972
1086,21.3989
1087,21.4005
1088,21.4022
1089,21.4038
1090,21.4054
1090,21.4054
1091,21.407
1092,21.4086
1093,21.4102
1094,21.4118
1095,21.4134
1096,21.4149
1097,21.4165
1098,21.418
1099,21.4196
1100,21.4211
1100,21.4211
1101,21.4226
1102,21.4242
1103,21.4257
1104,21.4272
1105,21.4288
1106,21.4303
1107,21.4318
1108,21.4334
1109,21.4349
1110,21.4365
1110,21.4365
1111,21.4381
1112,21.4396
1113,21.4412
1114,21.4427
1115,21.4443
1116,21.4458
1117,21.4474
1118,21.4489
1119,21.4505
1120,21.452
1120,21.452
1121,21.4535
1122,21.4551
1123,21.4566
1124,21.4582
1125,21.4597
1126,21.4613
1127,21.4629
1128,21.4644
1129,21.466
1130,21.4676
1130,21.4676
1131,21.4691
1132,21.4707
1133,21.4722
1134,21.4738
1135,21.4753
1136,21.4768
1137,21.4783
1138,21.4798
1139,21.4813
1140,21.4828
1140,21.4828
1141,21.4843
1142,21.4858
1143,21.4872
1144,21.4887
1145,21.4901
1146,21.4916
1147,21.493
1148,21.4944
1149,21.4959
1150,21.4973
1150,21.4973
1151,21.4987
1152,21.5
1153,21.5014
1154,21.5028
1155,21.5041
1156,21.5054
1157,21.5067
1158,21.508
1159,21.5093
1160,21.5106
1160,21.5106
1161,21.5118
1162,21.513
1163,21.5142
1164,21.5154
1165,21.5166
1166,21.5178
1167,21.5189
1168,21.52
1169,21.5211
1170,21.5222
1170,21.5222
1171,21.5233
1172,21.5243
1173,21.5254
1174,21.5264
1175,21.5274
1176,21.5285
1177,21.5295
1178,21.5305
1179,21.5314
1180,21.5324
1180,21.5324
1181,21.5334
1182,21.5343
1183,21.5352
1184,21.5362
1185,21.5371
1186,21.538
1187,21.5388
1188,21.5397
1189,21.5405
1190,21.5413
1190,21.5413
1191,21.5422
1192,21.543
1193,21.5437
1194,21.5445
1195,21.5452
1196,21.546
1197,21.5467
1198,21.5473
1199,21.548
1200,21.5487
1200,21.5487
1201,21.5493
1202,21.5499
1203,21.5505
1204,21.5511
1205,21.5517
1206,21.5522
1207,21.5527
1208,21.5532
1209,21.5537
1210,21.5542
1210,21.5542
1211,21.5546
1212,21.555
1213,21.5555
1214,21.5559
1215,21.5562
1216,21.5566
1217,21.557
1218,21.5573
1219,21.5576
1220,21.5579
1220,21.5579
1221,21.5582
1222,21.5585
1223,21.5588
1224,21.559
1225,21.5592
1226,21.5595
1227,21.5597
1228,21.5599
1229,21.5601
1230,21.5602
1230,21.5602
1231,21.5604
1232,21.5605
1233,21.5607
1234,21.5608
1235,21.5609
1236,21.561
1237,21.5611
1238,21.5612
1239,21.5613
1240,21.5613
1240,21.5613
1241,21.5614
1242,21.5614
1243,21.5615
1244,21.5615
1245,21.5615
1246,21.5615
1247,21.5615
1248,21.5615
1249,21.5615
1250,21.5615
1250,21.5615
1251,21.5615
1252,21.5614
1253,21.5614
1254,21.5613
1255,21.5613
1256,21.5612
1257,21.5611
1258,21.5611
1259,21.561
1260,21.5609
1260,21.5609
1261,21.5608
1262,21.5607
1263,21.5606
1264,21.5605
1265,21.5604
1266,21.5602
1267,21.5601
1268,21.56
1269,21.5599
1270,21.5597
1270,21.5597
1271,21.5596
1272,21.5595
1273,21.5593
1274,21.5592
1275,21.559
1276,21.5589
1277,21.5587
1278,21.5586
1279,21.5584
1280,21.5582
1280,21.5582
1281,21.558
1282,21.5579
1283,21.5577
1284,21.5575
1285,21.5574
1286,21.5572
1287,21.5571
1288,21.5569
1289,21.5568
1290,21.5566
1290,21.5566
1291,21.5565
1292,21.5563
1293,21.5562
1294,21.5561
1295,21.5559
1296,21.5558
1297,21.5557
1298,21.5556
1299,21.5554
1300,21.5553
1300,21.5553
1301,21.5552
1302,21.5551
1303,21.555
1304,21.5549
1305,21.5548
1306,21.5547
1307,21.5546
1308,21.5545
1309,21.5544
1310,21.5543
1310,21.5543
1311,21.5542
1312,21.5541
1313,21.554
1314,21.5539
1315,21.5537
1316,21.5536
1317,21.5535
1318,21.5534
1319,21.5533
1320,21.5532
1320,21.5532
1321,21.5531
1322,21.553
1323,21.5529
1324,21.5527
1325,21.5526
1326,21.5525
1327,21.5523
1328,21.5522
1329,21.552
1330,21.5519
1330,21.5519
1331,21.5517
1332,21.5515
1333,21.5513
