Time,room_radiator_window_withoutpe.room_temperature
8483,19.9488
8484,19.9474
8484,19.9474
8485,19.946
8485,19.946
8486,19.9446
8486,19.9446
8487,19.9432
8487,19.9432
8488,19.9418
8488,19.9418
8489,19.9404
8489,19.9404
8490,19.939
8490,19.939
8491,19.9376
8491,19.9376
8492,19.9363
8492,19.9363
8493,19.9349
8493,19.9349
8494,19.9335
8494,19.9335
8495,19.9321
8495,19.9321
8496,19.9307
8496,19.9307
8497,19.9293
8497,19.9293
8498,19.9278
8498,19.9278
8499,19.9262
8499,19.9262
8500,19.9247
8500,19.9247
8501,19.9232
8501,19.9232
8502,19.9217
8502,19.9217
8503,19.9202
8503,19.9202
8504,19.9186
8504,19.9186
8505,19.9171
8505,19.9171
8506,19.9156
8506,19.9156
8507,19.9142
8507,19.9142
8508,19.9128
8508,19.9128
8509,19.9114
8509,19.9114
8510,19.91
8510,19.91
8511,19.9086
8511,19.9086
8512,19.9072
8512,19.9072
8513,19.9058
8513,19.9058
8514,19.9044
8514,19.9044
8515,19.903
8515,19.903
8516,19.9016
8516,19.9016
8517,19.9003
8517,19.9003
8518,19.8989
8518,19.8989
8519,19.8975
8519,19.8975
8520,19.8962
8520,19.8962
8521,19.8948
8521,19.8948
8522,19.8935
8522,19.8935
8523,19.8921
8523,19.8921
8524,19.8907
8524,19.8907
8525,19.8894
8525,19.8894
8526,19.888
8526,19.888
8527,19.8866
8527,19.8866
8528,19.8852
8528,19.8852
8529,19.8838
8529,19.8838
8530,19.8824
8530,19.8824
8531,19.881
8531,19.881
8532,19.8795
8532,19.8795
8533,19.8781
8533,19.8781
8534,19.8767
8534,19.8767
8535,19.8753
8535,19.8753
8536,19.8739
8536,19.8739
8537,19.8725
8537,19.8725
8538,19.871
8538,19.871
8539,19.8696
8539,19.8696
8540,19.8682
8540,19.8682
8541,19.8667
8541,19.8667
8542,19.8653
8542,19.8653
8543,19.8639
8543,19.8639
8544,19.8625
8544,19.8625
8545,19.861
8545,19.861
8546,19.8596
8546,19.8596
8547,19.8582
8547,19.8582
8548,19.8567
8548,19.8567
8549,19.8553
8549,19.8553
8550,19.8538
8550,19.8538
8551,19.8524
8551,19.8524
8552,19.851
8552,19.851
8553,19.8495
8553,19.8495
8554,19.8481
8554,19.8481
8555,19.8466
8555,19.8466
8556,19.8452
8556,19.8452
8557,19.8438
8557,19.8438
8558,19.8423
8558,19.8423
8559,19.8409
8559,19.8409
8560,19.8394
8560,19.8394
8561,19.838
8561,19.838
8562,19.8365
8562,19.8365
8563,19.8351
8563,19.8351
8564,19.8336
8564,19.8336
8565,19.8322
8565,19.8322
8566,19.8307
8566,19.8307
8567,19.8293
8567,19.8293
8568,19.8278
8568,19.8278
8569,19.8263
8569,19.8263
8570,19.8248
8570,19.8248
8571,19.8233
8571,19.8233
8572,19.8219
8572,19.8219
8573,19.8204
8573,19.8204
8574,19.8189
8574,19.8189
8575,19.8174
8575,19.8174
8576,19.816
8576,19.816
8577,19.8145
8577,19.8145
8578,19.813
8578,19.813
8579,19.8115
8579,19.8115
8580,19.81
8580,19.81
8581,19.8085
8581,19.8085
8582,19.807
8582,19.807
8583,19.8055
8583,19.8055
8584,19.8041
8584,19.8041
8585,19.8026
8585,19.8026
8586,19.8011
8586,19.8011
8587,19.7996
8587,19.7996
8588,19.7982
8588,19.7982
8589,19.7967
8589,19.7967
8590,19.7952
8590,19.7952
